Only samples that are Within_ET_space = TRUE were used for analysis.,,

sample_name,ET,Within_ET_space
DC305,ET_F,TRUE
DC307,ET_F,FALSE
DC308,ET_B,TRUE
DC310,ET_B,TRUE
DC312,ET_F,TRUE
DC313,ET_F,TRUE
DC314,ET_P,TRUE
DP001,ET_F,FALSE
DP002,ET_B,TRUE
DP003,ET_F,TRUE
DP004,ET_F,FALSE
DP005,ET_F,FALSE
DP006,ET_B,TRUE
DP007,ET_P,TRUE
DP008,ET_F,TRUE
DP009,ET_B,TRUE
DP011,ET_F,TRUE
DP012,ET_B,TRUE
DP013,ET_F,TRUE
DP014,ET_F,FALSE
DP017,ET_F,TRUE
DP018,ET_F,FALSE
DP019,ET_B,TRUE
DP020,ET_B,FALSE
DP021,ET_B,FALSE
DP022,ET_F,FALSE
DP024,ET_B,TRUE
DP025,ET_F,TRUE
DP026,ET_B,FALSE
DP027,ET_F,FALSE
DP028,ET_F,TRUE
DP029,ET_B,TRUE
DP030,ET_F,TRUE
DP031,ET_F,TRUE
DP032,ET_F,TRUE
DP035,ET_P,TRUE
DP037,ET_F,FALSE
DP038,ET_P,TRUE
DP039,ET_F,FALSE
DP040,ET_F,TRUE
DP041,ET_F,TRUE
DP042,ET_F,FALSE
DP043,ET_B,TRUE
DP045,ET_F,FALSE
DP046,ET_P,FALSE
DP047,ET_P,TRUE
DP048,ET_B,TRUE
DP049,ET_F,FALSE
DP050,ET_F,TRUE
DP052,ET_F,TRUE
DP053,ET_F,FALSE
DP054,ET_B,FALSE
DP055,ET_F,FALSE
DP057,ET_F,FALSE
DP058,ET_B,TRUE
DP060,ET_P,TRUE
DP061,ET_F,TRUE
DP063,ET_F,TRUE
DP064,ET_B,TRUE
DP065,ET_F,TRUE
DP066,ET_B,TRUE
DP067,ET_F,FALSE
DP068,ET_B,TRUE
DP069,ET_B,TRUE
DP070,ET_F,FALSE
DP071,ET_B,FALSE
DP072,ET_F,TRUE
DP073,ET_P,TRUE
DP074,ET_B,FALSE
DP075,ET_P,TRUE
DP077,ET_B,TRUE
DP078,ET_B,FALSE
DP079,ET_B,FALSE
DP080,ET_B,FALSE
DP081,ET_B,TRUE
DP082,ET_F,TRUE
DP083,ET_B,FALSE
DP084,ET_B,TRUE
DP086,ET_F,TRUE
DP087,ET_B,TRUE
DP088,ET_F,FALSE
DP090,ET_B,FALSE
DP091,ET_B,FALSE
DP092,ET_F,TRUE
DP094,ET_B,FALSE
DP095,ET_F,FALSE
DP096,ET_F,TRUE
DP098,ET_B,TRUE
DP100,ET_F,TRUE
DP101,ET_B,FALSE
