metric,p,p_fmt,med_case,med_ctrl
Shannon,0.801987875006063,0.802,3.05518639803936,3.04005997696845
Simpson,0.98429255668005,0.984,0.917257828881298,0.917414130824251
Observed,0.00204830416946299,0.00205,94,89
