feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,-0.779173836683459,-0.680104590618539,-2.36894090939196,0.0182269467574288,0.192318443033204,-3.43883895963445,0.192,0.0182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167,-0.463363570662404,-1.97179616144227,-2.36225101898305,0.0185553498411957,0.192318443033204,-3.45372707985539,0.192,0.0186
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,-0.958609423939059,2.25465255666717,-2.34879141925204,0.0192318443033204,0.192318443033204,-3.48355639798853,0.192,0.0192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,-0.907950368764358,3.9281964192445,-2.28381214484576,0.0228107398861974,0.197756478083761,-3.62522133815189,0.198,0.0228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.662193680078943,0.915568527914042,2.27844763411248,0.0231306192270286,0.197756478083761,-3.6367432034188,0.198,0.0231
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,0.66955508436662,3.70614185837734,2.27202935580407,0.0235184614087897,0.197756478083761,-3.65049352707498,0.198,0.0235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,-0.709958250683219,4.36702551830553,-2.26276488124141,0.0240882717450071,0.197756478083761,-3.67027454897318,0.198,0.0241
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,-0.482078774184501,-1.31818035371128,-2.23713610459135,0.0257275416126716,0.197756478083761,-3.72458380494337,0.198,0.0257
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,-0.831267421819288,2.02469429140675,-2.23076761416489,0.0261495923316226,0.197756478083761,-3.73798519175771,0.198,0.0261
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,-0.773714324021796,1.22687868027846,-2.21652282474555,0.0271154024895463,0.197756478083761,-3.76782550499156,0.198,0.0271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Murimonas|s__Murimonas_intestini,-0.34163795608851,-2.16593414639809,-2.21506175483669,0.0272161890612205,0.197756478083761,-3.77087560550867,0.198,0.0272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi,0.648866192803448,0.453344549748328,2.19385180565276,0.0287162084749543,0.197756478083761,-3.81493124694231,0.198,0.0287
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,-0.532146971933397,-1.43599671817539,-2.19287148177182,0.0287872331257469,0.197756478083761,-3.81695746107073,0.198,0.0288
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,-0.367714757407351,-2.0980193092953,-2.18675829829328,0.0292335663254255,0.197756478083761,-3.82957267758447,0.198,0.0292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,-0.810844021786869,3.23960535386408,-2.14828833157549,0.0321816558902516,0.206315681559855,-3.90816767818786,0.206,0.0322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,-0.317445833017149,-2.20938306834529,-2.14689717126714,0.0322928892876295,0.206315681559855,-3.91098423355918,0.206,0.0323
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,-0.517476735335197,4.75186445884754,-2.13173188068506,0.0335270545529692,0.208411420194133,-3.94157196898537,0.208,0.0335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,0.497926999448772,3.31774537601756,2.11390018246317,0.0350297826611835,0.212022368738742,-3.97726570618677,0.212,0.035
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,-0.832833380393554,1.6269701312725,-2.00451215904612,0.0455664045801494,0.26872495008806,-4.18978579333094,0.269,0.0456
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0.633303279846745,1.30968602576615,1.96790265420724,0.0496442018061903,0.285454160385594,-4.25843327222565,0.285,0.0496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza,-0.686376628280132,-0.218994732920779,-1.90713386820485,0.0570892673673043,0.320256865719024,-4.3696343184878,0.32,0.0571
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257,0.70454920782376,2.82462506079676,1.8907856597599,0.0592442093371669,0.3239402790359,-4.39896392602184,0.324,0.0592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_N6H1_15,0.40577331590452,-1.93616205988956,1.88102536675997,0.0605627478197552,0.3239402790359,-4.41635590187601,0.324,0.0606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,-0.72169128426233,4.06898871057301,-1.86896286305602,0.0622259104036151,0.325271804382533,-4.43772772243248,0.325,0.0622
