feature,logFC,AveExpr,t,P.Value,adj.P.Val,B,adjP_fmt,P_fmt
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241,0.0223007418124407,0.00211249651334213,1.30683178198615,0.191892061339175,0.973398620625947,-7.87652813018242,9.73e-01,1.92e-01
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.0529715601899207,0.0584649831115594,1.03221714134628,0.302487274308072,0.973398620625947,-8.19735785221953,9.73e-01,3.02e-01
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.0139300089702672,0.00130684857019843,1.02242943900281,0.307089799923524,0.973398620625947,-8.20740925648759,9.73e-01,3.07e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.0133059770040294,0.00330135430899209,1.02106858672867,0.30773338559214,0.973398620625947,-8.20879922301225,9.73e-01,3.08e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus,0.00176922607027955,-0.00734838989855362,1.00127625427386,0.317194911670565,0.973398620625947,-8.22880661792942,9.73e-01,3.17e-01
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum,0.00545435363629042,-0.00565903557924247,0.925799138765078,0.355012974370182,0.973398620625947,-8.30152356662569,9.73e-01,3.55e-01
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,-0.0454435080574526,0.0363389158165805,-0.896299711063033,0.370539462157566,0.973398620625947,-8.32840154725487,9.73e-01,3.71e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,0.00471987164469876,-0.00114623878178813,0.879804215159234,0.379403152323213,0.973398620625947,-8.3430530498986,9.73e-01,3.79e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,0.0118379110291959,0.00618348112136268,0.8695499542086,0.384978552274694,0.973398620625947,-8.35202427485006,9.73e-01,3.85e-01
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.045813161463409,0.0281719595998367,0.839776726212078,0.401449298154114,0.973398620625947,-8.37747801198059,9.73e-01,4.01e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,-0.0264355800325601,0.0355043282617566,-0.814718792759136,0.415635043456535,0.973398620625947,-8.39821534487239,9.73e-01,4.16e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,-0.0331452511854808,0.0270377569809221,-0.810836542073534,0.417859124578652,0.973398620625947,-8.40137215782122,9.73e-01,4.18e-01
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,-0.00111186967474388,-0.00620244619667767,-0.801940490952781,0.422981977933579,0.973398620625947,-8.40854918182949,9.73e-01,4.23e-01
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,0.000227459238490883,-0.00790892111622257,0.791717842187627,0.428914075747654,0.973398620625947,-8.41669894941955,9.73e-01,4.29e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317,-0.00765998124264082,0.000357670468245744,-0.745229052770094,0.456495947714669,0.973398620625947,-8.45244541408057,9.73e-01,4.56e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59,0.00154312745093884,-0.00740158688411377,0.742000341903739,0.458447993420365,0.973398620625947,-8.45484793612927,9.73e-01,4.58e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,0.0069831722762995,-0.00455178110811806,0.739054853758253,0.460232893655579,0.973398620625947,-8.45703063039822,9.73e-01,4.60e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,0.00133020763636542,-0.00722105334673566,0.71150637704249,0.477114180662275,0.973398620625947,-8.47702547172004,9.73e-01,4.77e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,-0.00308489043853417,-0.00311782990392689,-0.700369736744162,0.484033843959336,0.973398620625947,-8.48489339503702,9.73e-01,4.84e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,-0.00282332192662141,-0.00514003779441453,-0.681037609740258,0.496174248048813,0.973398620625947,-8.49825719012655,9.73e-01,4.96e-01
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris,0.00141118014649428,-0.00750393880828513,0.671404084527488,0.502284300597704,0.973398620625947,-8.50477722708748,9.73e-01,5.02e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,-0.0133863837690329,0.00503975849276757,-0.66986968948446,0.503261161542939,0.973398620625947,-8.50580715699581,9.73e-01,5.03e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,-0.0150312856158374,0.0133155629314221,-0.662827018904384,0.507757706545915,0.973398620625947,-8.5105042255034,9.73e-01,5.08e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,-0.0140595953329721,0.0122106587945237,-0.656639673426976,0.511725536728036,0.973398620625947,-8.51458994814881,9.73e-01,5.12e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus,-0.00446564473217432,-0.003943010974171,-0.651313157333928,0.51515429015293,0.973398620625947,-8.51807659700803,9.73e-01,5.15e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.00838556363922913,0.00673855719656503,0.645831314692557,0.518695485790761,0.973398620625947,-8.52163531954584,9.73e-01,5.19e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20,-0.0078776098601328,0.00255591769243806,-0.639985628452758,0.522485571931528,0.973398620625947,-8.5253971605527,9.73e-01,5.22e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,-0.00130101147314415,-0.00675608271256916,-0.62541010302152,0.531997479333854,0.973398620625947,-8.53462814557988,9.73e-01,5.32e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,-0.00191046698111366,-0.00608687938222113,-0.620188223278031,0.535426533174788,0.973398620625947,-8.53788361455076,9.73e-01,5.35e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,-0.00344779576881971,-0.00295873895745041,-0.619590528863838,0.535819732827881,0.973398620625947,-8.53825449617975,9.73e-01,5.36e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,0.0139648551025458,0.0161458787953442,0.606279807307855,0.544613958288145,0.973398620625947,-8.54642155605882,9.73e-01,5.45e-01
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,-0.00192120539583543,-0.00433483725388621,-0.606178297371103,0.544681300011398,0.973398620625947,-8.54648315912016,9.73e-01,5.45e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,-0.0109357354660377,0.00462065349316629,-0.602694222191761,0.546995148816077,0.973398620625947,-8.54859128708148,9.73e-01,5.47e-01
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium,-0.00186106986524235,-0.0048248870926349,-0.600084620700124,0.548731431974128,0.973398620625947,-8.55016234509692,9.73e-01,5.49e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,-0.00278920752892697,-0.00321325281320871,-0.590174151491491,0.555350062816617,0.973398620625947,-8.55606672880401,9.73e-01,5.55e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii,-0.000529948572092916,-0.00745183805187658,-0.581440183820949,0.561215218559866,0.973398620625947,-8.56118879429885,9.73e-01,5.61e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,-0.00466783624877666,-0.00393222518809186,-0.574310062053121,0.56602552013899,0.973398620625947,-8.56531373888032,9.73e-01,5.66e-01
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,-0.00206939472965706,-0.00467841472203506,-0.566837008922527,0.571088390112258,0.973398620625947,-8.56958252510696,9.73e-01,5.71e-01
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,-0.000164501163759355,-0.00781751191842082,-0.564872034109717,0.572423209417075,0.973398620625947,-8.57069569467603,9.73e-01,5.72e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,-0.0200184948007334,0.0231420028706165,-0.549978583976926,0.582588435295465,0.973398620625947,-8.57900739759465,9.73e-01,5.83e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,0.015553578268559,0.014940173428607,0.536514347412694,0.591850283310117,0.973398620625947,-8.58633059431604,9.73e-01,5.92e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,-0.0161229295901717,0.0069422554483485,-0.536464429972285,0.591884746631847,0.973398620625947,-8.58635740711203,9.73e-01,5.92e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,-0.00916920544086458,0.00362869470453536,-0.530289587032724,0.596155007245252,0.973398620625947,-8.5896549606323,9.73e-01,5.96e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257,-0.0125002388225985,0.00786756390609255,-0.520524305391152,0.602936848611433,0.973398620625947,-8.59479208176355,9.73e-01,6.03e-01
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,-0.000216286964226448,-0.00769026601488778,-0.514741086678734,0.606969556315448,0.973398620625947,-8.59778943444823,9.73e-01,6.07e-01
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145,-0.0014428033886644,-0.00655414346235839,-0.511410741250078,0.60929731595546,0.973398620625947,-8.59950032279478,9.73e-01,6.09e-01
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,-0.00398139531494352,-0.0037411788744695,-0.50704555939769,0.612354394234273,0.973398620625947,-8.60172603516713,9.73e-01,6.12e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16,-0.000725934493910196,-0.00726286712167315,-0.50215636081776,0.615786511137854,0.973398620625947,-8.60419630425113,9.73e-01,6.16e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,-0.000321951080164565,-0.00763824048470709,-0.499719433075414,0.617500343567335,0.973398620625947,-8.60541863396955,9.73e-01,6.18e-01
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.0373167262403067,0.0721003332783632,0.478749235448461,0.632333808518733,0.973398620625947,-8.61569149960735,9.73e-01,6.32e-01
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,-0.0012311033667111,-0.00485198121405629,-0.469823114737916,0.638693562114563,0.973398620625947,-8.61993074360277,9.73e-01,6.39e-01
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,-0.00323893064040306,-0.00111766350037737,-0.467308213280748,0.640490249939094,0.973398620625947,-8.62111074220725,9.73e-01,6.40e-01
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,-0.0300682893347634,0.049982769229533,-0.457387239459515,0.647598514940932,0.973398620625947,-8.62570397309156,9.73e-01,6.48e-01
